strategy,sharpe,ann_ret%,max_dd%,PSR,DSR,sharpe_CI,n_days,winner
s12_crypto_tsmom,0.653,26.65,-80.3,0.999,0.819,"[0.32,1.03]",5987,False
s04_vix_term_structure,0.504,5.86,-31.5,0.993,0.578,"[0.19,0.86]",5987,False
s05_trend_filter_200d,0.448,2.71,-20.6,0.985,0.472,"[0.10,0.81]",5987,False
s01_tsmom_equity,0.443,5.54,-31.6,0.984,0.461,"[0.12,0.78]",5987,False
s15_defensive_breakout,0.412,2.86,-14.4,0.978,0.402,"[0.10,0.73]",5987,False
s07_credit_spread_riskoff,0.401,1.1,-7.8,0.974,0.382,"[0.10,0.76]",5987,False
s11_sector_rs_rotation,0.39,5.65,-52.3,0.971,0.362,"[0.08,0.71]",5987,False
s06_bond_trend,0.36,3.39,-20.9,0.961,0.308,"[0.05,0.68]",5987,False
s09_usd_trend_commodity,0.324,2.91,-36.6,0.942,0.25,"[-0.04,0.66]",5987,False
s14_vix_spike_fade,0.306,1.53,-15.5,0.953,0.195,"[0.13,0.59]",5987,False
s13_rsi2_meanrev,0.223,1.07,-10.9,0.861,0.122,"[-0.04,0.49]",5987,False
s10_turn_of_month,0.181,1.23,-22.2,0.807,0.089,"[-0.11,0.54]",5987,False
s08_yield_curve_regime,0.112,1.62,-57.0,0.707,0.044,"[-0.22,0.46]",5987,False
s03_short_term_reversal,-0.15,-0.65,-37.7,0.233,0.001,"[-0.51,0.15]",5987,False
s02_xs_momentum_sectors,-0.429,-2.89,-53.2,0.017,0.0,"[-0.73,-0.12]",5987,False
