event_ticker,market_ticker,side,strike,spot_at_decision,dist_usd,decision_utc,close_utc,model_p_yes,entry_quoted,entry_fill,exit_fill,exit_reason,edge_c_decision,contracts,gross_pnl,fees,net_pnl,throttled
KXBTCD-26MAY1021,KXBTCD-26MAY1021-T81699.99,no,81699.99,81599.2,100.79000000000815,2026-05-11T00:41:30.338788200+00:00,2026-05-11T00:55:00.338788200+00:00,0.1768972800842325,0.7,0.72,0.74,take_profit (+5.0c),6.430271991576747,1,0.020000000000000018,0.04,-0.019999999999999983,True
KXBTCD-26MAY1210,KXBTCD-26MAY1210-T80599.99,yes,80599.99,80751.85,151.86000000000058,2026-05-12T13:42:05.435323100+00:00,2026-05-12T13:55:00.435323100+00:00,0.9119766823419976,0.79,0.81,0.84,take_profit (+5.5c),7.552468234199755,1,0.029999999999999916,0.03,-8.326672684688674e-17,False
KXBTCD-26MAY0801,KXBTCD-26MAY0801-T79599.99,no,79599.99,79594.95,5.040000000008149,2026-05-08T04:47:01.057988300+00:00,2026-05-08T04:55:01.057988300+00:00,0.48432746219462286,0.39,0.41000000000000003,0.42999999999999994,take_profit (+5.5c),5.906053780537711,1,0.019999999999999907,0.04,-0.020000000000000094,True
KXBTCD-26MAY0810,KXBTCD-26MAY0810-T79999.99,no,79999.99,79715.65,284.34000000001106,2026-05-08T13:25:05.570418700+00:00,2026-05-08T13:55:00.570418700+00:00,0.06092856843203112,0.8,0.8200000000000001,0.85,take_profit (+5.5c),9.427143156796891,1,0.029999999999999916,0.03,-8.326672684688674e-17,False
KXBTCD-26MAY0900,KXBTCD-26MAY0900-T80499.99,yes,80499.99,80430.25,69.74000000000524,2026-05-09T03:26:35.624075500+00:00,2026-05-09T03:55:00.624075500+00:00,0.29252786629655453,0.20999999999999996,0.22999999999999995,0.14,stop_loss (-5.5c),3.607586629655457,1,-0.08999999999999994,0.03,-0.11999999999999994,False
KXBTCD-26MAY0822,KXBTCD-26MAY0822-T80199.99,no,80199.99,80245.95,45.95999999999185,2026-05-09T01:25:45.445412+00:00,2026-05-09T01:55:00.445412+00:00,0.6301948905346468,0.24,0.26,0.17999999999999997,stop_loss (-5.5c),7.873310946535318,1,-0.08000000000000004,0.04,-0.12000000000000005,True
KXBTCD-26MAY0611,KXBTCD-26MAY0611-T81399.99,yes,81399.99,81610.99,211.0,2026-05-06T14:25:25.801424200+00:00,2026-05-06T14:55:00.801424200+00:00,0.8127967700297384,0.73,0.75,0.77,take_profit (+6.0c),2.7608770029738388,1,0.020000000000000018,0.04,-0.019999999999999983,False
KXBTCD-26MAY0907,KXBTCD-26MAY0907-T80199.99,no,80199.99,80214.45,14.459999999991851,2026-05-09T10:27:30.243810300+00:00,2026-05-09T10:55:00.243810300+00:00,0.5601144547446587,0.28,0.30000000000000004,0.19999999999999998,stop_loss (-6.0c),10.343754525534127,1,-0.10000000000000006,0.04,-0.14000000000000007,True
KXBTCD-26MAY1016,KXBTCD-26MAY1016-T81399.99,no,81399.99,81400.25,0.2599999999947613,2026-05-10T19:48:00.801174300+00:00,2026-05-10T19:55:00.801174300+00:00,0.5170987302970553,0.32999999999999996,0.35,0.36,take_profit (+5.0c),9.099326970294472,1,0.010000000000000009,0.04,-0.029999999999999992,True
KXBTCD-26MAY0917,KXBTCD-26MAY0917-T80749.99,no,80749.99,80775.55,25.55999999999767,2026-05-09T20:26:10.445230300+00:00,2026-05-09T20:55:00.445230300+00:00,0.5809813754131314,0.29000000000000004,0.31000000000000005,0.19999999999999998,stop_loss (-7.0c),7.1366624586868515,1,-0.11000000000000007,0.04,-0.15000000000000008,True
KXBTCD-26MAY0808,KXBTCD-26MAY0808-T80199.99,no,80199.99,80257.95,57.95999999999185,2026-05-08T11:32:20.803752100+00:00,2026-05-08T11:55:00.803752100+00:00,0.6761301002505133,0.21999999999999997,0.23999999999999996,0.14000000000000004,stop_loss (-5.5c),5.582189974948669,1,-0.09999999999999992,0.03,-0.12999999999999992,True
KXBTCD-26MAY0607,KXBTCD-26MAY0607-T82199.99,yes,82199.99,82274.0,74.00999999999476,2026-05-06T10:42:31.171194+00:00,2026-05-06T10:55:01.171194+00:00,0.7324283217089802,0.5700000000000001,0.5900000000000001,0.61,take_profit (+5.5c),9.380032170898012,1,0.019999999999999907,0.04,-0.020000000000000094,False
KXBTCD-26MAY0909,KXBTCD-26MAY0909-T80399.99,yes,80399.99,80391.55,8.440000000002328,2026-05-09T12:27:15.717548600+00:00,2026-05-09T12:55:00.717548600+00:00,0.46097573797488706,0.36,0.38,0.41,take_profit (+5.5c),3.6463737974887067,1,0.02999999999999997,0.04,-0.01000000000000003,False
