timestamp,$58500 or above,$58750 or above,$59000 or above,$59250 or above,$59500 or above,$59750 or above,$60000 or above,$60250 or above,$60500 or above,$60750 or above,$61000 or above,$61250 or above,$61500 or above,$61750 or above,$62000 or above,$62250 or above,$62500 or above,$62750 or above,$63000 or above,$63250 or above,$63500 or above,$63750 or above,$64000 or above,$64250 or above,$64500 or above,$64750 or above,$65000 or above,$65250 or above,$65500 or above,$65750 or above,$66000 or above,$66250 or above,$66500 or above,$66750 or above,$67000 or above,$67250 or above,$67500 or above,$67750 or above,$68000 or above,$68250 or above,$68500 or above,$68750 or above,$69000 or above,$69250 or above,$69500 or above,$69750 or above,$70000 or above,$70250 or above,$70500 or above,$70750 or above,$71000 or above,$71250 or above,$71500 or above,$71750 or above,$72000 or above,$72250 or above,$72500 or above,$72750 or above,$73000 or above,$73250 or above,$73500 or above,$73750 or above,$74000 or above,$74250 or above,$74500 or above,$74750 or above,$75000 or above,$75250 or above,$75500 or above,$75750 or above,$76000 or above,$76250 or above,$76500 or above,$76750 or above,$77000 or above
2026-03-11T02:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.22,88.48,64.21,31.92,11.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:02:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.96,89.00,59.50,22.01,6.47,1.21,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:03:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.00,90.72,63.24,24.56,7.00,2.00,1.30,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:04:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.78,99.00,97.00,92.00,68.98,28.69,7.71,2.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:05:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.78,99.00,97.00,92.53,67.51,26.52,6.97,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:06:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,91.05,60.34,20.92,4.87,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:07:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.00,91.77,62.47,23.66,4.87,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:08:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,91.97,57.38,20.86,4.52,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:09:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.67,93.71,63.22,25.94,6.49,2.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.67,93.22,64.47,24.36,6.74,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:11:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,92.98,61.73,19.83,5.72,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:12:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.17,92.01,60.36,20.16,4.56,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:13:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.05,91.75,56.26,15.68,4.00,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:14:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,91.70,57.43,15.61,4.44,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:15:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.20,51.69,13.08,3.65,1.80,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:16:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,89.06,53.96,13.15,2.72,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:17:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,92.74,56.76,14.93,3.94,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:18:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,92.54,54.43,15.93,3.24,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:19:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,93.01,58.73,14.35,3.92,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:20:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.62,90.80,49.89,11.41,3.15,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:21:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,88.06,45.78,7.94,2.85,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:22:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,89.76,46.47,11.37,2.85,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:23:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.37,44.08,9.54,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:24:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.94,88.72,39.99,7.39,2.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:25:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,91.17,44.65,7.44,2.44,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:26:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.14,92.04,47.61,6.88,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:27:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,89.11,41.00,8.82,3.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:28:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.83,43.67,7.18,2.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:29:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.93,47.18,8.57,1.73,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:30:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,92.57,43.19,5.80,1.60,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:31:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,97.82,91.06,41.54,6.08,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:32:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,90.70,37.24,4.92,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:33:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.51,89.51,28.07,4.27,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:34:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,96.08,70.78,16.98,2.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:35:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,95.28,63.87,14.30,2.27,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:36:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,96.24,70.86,17.46,2.81,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:37:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,95.67,70.14,14.88,2.16,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:38:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,94.63,54.02,11.16,1.26,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:39:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.36,88.92,32.36,6.36,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:40:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,98.99,92.42,43.60,7.92,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:41:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,93.16,48.28,9.32,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:42:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,93.20,48.64,7.85,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:43:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,93.39,45.97,6.84,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,
2026-03-11T02:44:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,91.55,39.34,5.68,1.00,1.00,1.00,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,
