timestamp,$70100 or above,$70200 or above,$70300 or above,$70400 or above,$70500 or above,$70600 or above,$70700 or above,$70800 or above,$70900 or above,$71000 or above,$71100 or above,$71200 or above,$71300 or above,$71400 or above,$71500 or above,$71600 or above,$71700 or above,$71800 or above,$71900 or above,$72000 or above,$72100 or above,$72200 or above,$72300 or above,$72400 or above,$72500 or above,$72600 or above,$72700 or above,$72800 or above,$72900 or above,$73000 or above,$73100 or above,$73200 or above,$73300 or above,$73400 or above,$73500 or above,$73600 or above,$73700 or above,$73800 or above,$73900 or above,$74000 or above,$74100 or above,$74200 or above,$74300 or above,$74400 or above,$74500 or above,$74600 or above,$74700 or above,$74800 or above,$74900 or above,$75000 or above,$75100 or above,$75200 or above,$75300 or above,$75400 or above,$75500 or above,$75600 or above,$75700 or above,$75800 or above,$75900 or above,$76000 or above,$76100 or above,$76200 or above,$76300 or above,$76400 or above,$76500 or above,$76600 or above,$76700 or above,$76800 or above,$76900 or above,$77000 or above,$77100 or above,$77200 or above,$77300 or above,$77400 or above,$77500 or above,$77600 or above,$77700 or above,$77800 or above,$77900 or above,$78000 or above,$78100 or above,$78200 or above,$78300 or above,$78400 or above,$78500 or above,$78600 or above,$78700 or above,$78800 or above,$78900 or above,$79000 or above,$79100 or above,$79200 or above,$79300 or above,$79400 or above,$79500 or above,$79600 or above,$79700 or above,$79800 or above,$79900 or above,$80000 or above,$80100 or above,$80200 or above,$80300 or above,$80400 or above,$80500 or above,$80600 or above,$80700 or above,$80800 or above,$80900 or above,$81000 or above,$81100 or above,$81200 or above,$81300 or above,$81400 or above,$81500 or above,$81600 or above,$81700 or above,$81800 or above,$81900 or above,$82000 or above,$82100 or above,$82200 or above,$82300 or above,$82400 or above,$82500 or above,$82600 or above,$82700 or above,$82800 or above,$82900 or above,$83000 or above,$83100 or above,$83200 or above,$83300 or above,$83400 or above,$83500 or above,$83600 or above,$83700 or above,$83800 or above,$83900 or above,$84000 or above,$84100 or above,$84200 or above,$84300 or above,$84400 or above,$84500 or above,$84600 or above,$84700 or above,$84800 or above,$84900 or above,$85000 or above,$85100 or above,$85200 or above,$85300 or above,$85400 or above,$85500 or above,$85600 or above,$85700 or above,$85800 or above,$85900 or above,$86000 or above,$86100 or above,$86200 or above,$86300 or above,$86400 or above,$86500 or above,$86600 or above,$86700 or above,$86800 or above,$86900 or above,$87000 or above,$87100 or above,$87200 or above,$87300 or above,$87400 or above,$87500 or above,$87600 or above,$87700 or above,$87800 or above,$87900 or above,$88000 or above,$88100 or above,$88200 or above,$88300 or above,$88400 or above,$88500 or above,$88600 or above,$88700 or above,$88800 or above
2026-05-05T14:01:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.00,,,93.38,95.00,,,90.00,81.14,78.07,73.38,64.55,55.00,45.92,32.01,25.44,21.00,15.52,14.46,10.00,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:02:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.00,98.00,97.08,93.38,95.00,92.15,94.00,88.13,85.12,79.70,71.42,63.89,55.12,48.40,37.68,28.69,21.09,17.63,13.00,8.04,7.00,5.00,4.21,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:03:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.00,98.00,97.08,93.38,95.00,92.15,91.00,94.23,89.07,84.40,78.83,72.45,62.70,54.71,44.89,36.59,27.39,17.50,13.57,8.18,7.95,5.00,3.43,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:04:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,97.00,98.00,97.08,93.38,95.00,96.00,96.00,93.56,91.98,86.86,81.24,71.86,65.39,56.44,47.23,35.57,28.24,20.64,12.41,9.69,7.99,5.00,3.43,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:05:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,98.00,97.08,93.38,97.40,96.00,96.00,96.39,95.00,90.80,82.46,74.02,72.63,62.96,50.60,42.84,29.61,24.00,16.55,13.76,10.04,6.02,3.00,5.60,2.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:06:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,93.38,97.40,96.00,96.00,96.39,94.00,90.55,86.86,79.88,71.12,62.33,53.74,42.42,33.80,23.82,16.92,12.51,8.00,6.02,6.00,2.00,2.00,3.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:07:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,97.10,96.00,96.00,94.42,94.00,88.18,84.50,77.65,68.47,57.93,49.44,36.30,29.62,22.80,16.92,12.51,6.00,6.02,6.00,5.00,3.00,3.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:08:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,97.10,96.00,98.00,93.06,90.54,85.66,77.32,69.93,62.39,50.96,39.58,32.12,24.17,18.16,11.62,12.51,7.00,5.00,6.00,5.00,3.00,3.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:09:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,99.00,97.10,96.00,94.00,96.00,91.21,85.06,82.70,70.85,61.15,53.90,41.51,28.60,20.15,16.52,10.50,6.00,3.20,5.00,6.00,5.00,3.00,3.00,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:10:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,98.68,99.00,96.00,97.00,94.27,91.21,86.62,77.08,69.92,59.59,50.55,41.20,29.06,20.00,15.95,9.00,5.50,3.20,5.00,2.10,3.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:11:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,98.68,97.00,96.00,97.00,94.27,92.00,89.00,81.67,70.82,62.69,52.81,41.95,33.33,21.00,12.82,9.00,5.50,3.00,5.00,2.10,3.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:12:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,98.68,97.00,98.00,97.29,94.27,91.00,82.42,75.86,66.44,57.14,45.14,33.53,25.36,15.54,12.24,7.93,5.50,3.00,5.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:13:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,98.68,99.00,99.00,95.08,95.00,94.00,87.25,81.32,71.21,61.32,51.39,37.95,28.62,19.50,14.00,9.80,4.00,5.00,5.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:14:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.00,99.00,99.00,99.00,98.68,99.00,99.00,97.42,94.00,91.04,79.48,70.13,64.88,57.80,54.68,44.58,28.81,16.41,16.81,9.00,5.00,4.00,5.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:15:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,99.00,99.00,97.00,95.00,95.53,92.00,89.61,83.37,75.84,67.11,56.48,44.77,35.87,27.71,22.41,16.86,9.69,7.00,5.00,2.45,5.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:16:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,98.04,99.00,93.19,94.46,90.10,88.07,82.82,70.61,61.19,49.84,43.66,36.27,26.16,21.52,13.51,7.76,9.17,5.77,5.00,2.45,2.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:17:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,98.52,99.00,95.86,96.00,97.00,94.53,90.00,88.11,85.74,77.44,69.12,58.72,50.10,41.04,31.61,22.82,15.81,11.67,9.00,5.00,5.00,3.01,2.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:18:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,98.52,99.00,95.86,96.00,97.00,94.53,95.00,88.11,87.89,82.08,76.01,67.46,60.44,48.84,38.60,30.74,21.80,17.23,11.42,7.46,6.00,4.00,2.00,2.10,1.00,3.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:19:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,95.86,98.00,96.65,94.42,92.05,87.62,81.25,73.64,61.33,61.79,45.50,37.45,34.27,28.12,20.52,14.09,11.42,7.46,5.08,4.00,2.00,2.00,1.00,1.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:20:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,98.16,97.00,95.00,92.70,89.44,83.03,80.28,72.16,60.54,54.96,45.50,32.75,27.05,19.05,13.47,10.00,5.00,7.46,5.08,2.00,2.00,2.00,1.00,1.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:21:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,98.16,97.00,94.25,90.55,89.48,84.78,78.50,69.34,62.12,52.07,42.70,31.88,25.21,17.34,12.65,8.00,7.00,7.46,5.08,2.00,2.00,2.00,1.00,1.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05T14:22:00Z,,98.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.30,99.00,99.00,98.16,97.00,94.25,92.41,86.78,83.00,77.53,69.31,59.12,51.52,39.16,29.61,24.11,16.14,11.08,7.00,6.37,7.46,5.08,3.00,2.00,2.00,1.00,1.00,3.00,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
