,sharpe,ann_ret,ann_vol,mdd,hit,n,pct_long,pct_short,pct_flat,dir_acc,mean_prob,secs
BuyHold_SPY,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
AR1,-0.629686718860709,-0.12848492197302658,0.2040457867771042,-0.6626517297335007,0.4897451833436917,1609.0,0.5512740832815414,0.44748290863890616,0.001243008079552517,0.4953329184816428,,
AlwaysLong,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
RandomSelective,0.556639881588841,0.10636468798957126,0.19108348414772222,-0.3880307288549838,0.4532828282828283,1609.0,0.4499689247980112,0.45245494095711625,0.09757613424487259,0.4972451790633609,,
Logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
RandomForest,0.6027619329539133,0.10176165908049664,0.16882562337969884,-0.3254346277298178,0.42560175054704596,1609.0,0.4362958359229335,0.0,0.5637041640770665,0.5541310541310541,0.5493749995171003,1.0
GradientBoost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
LightGBM,-0.0636184522294916,-0.011051747733783927,0.17371921740435975,-0.4937536336299181,0.4164962508520791,1609.0,0.4810441267868241,0.2591671845866998,0.2597886886264761,0.5146935348446684,0.5358336334425235,0.4
MLP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0
LSTM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,3.2
