,sharpe,ann_ret,ann_vol,mdd,hit,n,pct_long,pct_short,pct_flat,dir_acc,mean_prob,secs
BuyHold_SPY,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
AR1,-0.629686718860709,-0.12848492197302658,0.2040457867771042,-0.6626517297335007,0.4897451833436917,1609.0,0.5512740832815414,0.44748290863890616,0.001243008079552517,0.4953329184816428,,
AlwaysLong,0.7178385875327223,0.14647333053725686,0.20404772476873842,-0.35745864826702056,0.55196017423771,1609.0,1.0,0.0,0.0,0.5512740832815414,,
RandomSelective,0.556639881588841,0.10636468798957126,0.19108348414772222,-0.3880307288549838,0.4532828282828283,1609.0,0.4499689247980112,0.45245494095711625,0.09757613424487259,0.4972451790633609,,
Logistic,13.563820078583493,2.0948742822305224,0.15444574390500881,-0.000675620635391394,0.9521144278606966,1609.0,0.5363579863269111,0.418272218769422,0.045369794903666875,0.9973958333333334,0.5519606913818538,0.0
RandomForest,13.617877647062622,2.09969112805605,0.15418637048108258,-0.00019999999999997797,0.9906716417910447,1609.0,0.5512740832815414,0.4487259167184587,0.0,0.9987569919204475,0.5501264831017028,0.9
GradientBoost,13.617877647062622,2.09969112805605,0.15418637048108258,-0.00019999999999997797,0.9906716417910447,1609.0,0.5512740832815414,0.4487259167184587,0.0,0.9987569919204475,0.5512739023682496,3.2
LightGBM,13.617877647062622,2.09969112805605,0.15418637048108258,-0.00019999999999997797,0.9906716417910447,1609.0,0.5512740832815414,0.4487259167184587,0.0,0.9987569919204475,0.551283105170758,0.3
MLP,13.564790176753805,2.095001919318621,0.15444410801936762,-0.0035251073623052687,0.9719975108898569,1609.0,0.5581106277190802,0.437538844002486,0.00435052827843381,0.9794007490636704,0.5587952828027244,2.4
LSTM,-1.2597835522261,-0.2123833535099548,0.16858717764227268,-0.8090029030013585,0.4045077105575326,1609.0,0.4338098197638285,0.0254816656308266,0.540708514605345,0.4614343707713126,0.5446623264261474,2.9
